Date : 2021-09-14 13:07:16
Directory : d:\Programowanie\Unity\SimpleRougelike
Total : 94 files,  29131 codes, 490 comments, 2458 blanks, all 32079 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Interfaces\ILivingThing.cs            | C#        |         10 |          0 |          4 |         14 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Interfaces\ISelectable.cs             | C#        |          7 |          1 |          5 |         13 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Interfaces\ISpecialTile.cs            | C#        |         12 |          0 |          1 |         13 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Interfaces\IUsable.cs                 | C#        |          9 |          1 |          2 |         12 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Interfaces\IValuable.cs               | C#        |          9 |          0 |          2 |         11 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Monster_Cell.cs                       | C#        |        194 |         10 |         28 |        232 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Obstacle_Cell.cs                      | C#        |         36 |          2 |         12 |         50 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Player_Cell.cs                        | C#        |        137 |          2 |         21 |        160 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Treasure_Cell.cs                      | C#        |        132 |          1 |         21 |        154 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Chest.cs                                           | C#        |         58 |          8 |         12 |         78 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\EquipmentScript.cs                                 | C#        |        278 |          7 |         46 |        331 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\GameManager.cs                                     | C#        |        384 |         35 |         63 |        482 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\GridManager.cs                                     | C#        |        195 |         14 |         16 |        225 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Item Scripts\DefaultItem.cs                        | C#        |         11 |          0 |          3 |         14 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Item Scripts\EquipmentItem.cs                      | C#        |         46 |          0 |          7 |         53 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Item Scripts\GoldItem.cs                           | C#        |         11 |          0 |          2 |         13 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Item Scripts\ItemData.cs                           | C#        |         77 |          0 |          6 |         83 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Item Scripts\PotionItem.cs                         | C#        |         35 |          0 |          6 |         41 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\ItemSlot.cs                                        | C#        |        227 |         14 |         38 |        279 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\MoveValidatorScript.cs                             | C#        |         91 |          4 |         19 |        114 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\PlayerEquipmentVisualSwitchScript.cs               | C#        |         64 |          0 |         12 |         76 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\PlayerManager.cs                                   | C#        |        384 |         30 |         66 |        480 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\ActionButtonScript.cs                    | C#        |        126 |         15 |         13 |        154 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\ActionSwitchController.cs                | C#        |        185 |          9 |         22 |        216 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\AlertScript.cs                           | C#        |         31 |          6 |          7 |         44 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\AnimateWindowScript.cs                   | C#        |        153 |         11 |         26 |        190 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\AutoDestroyScript.cs                     | C#        |         11 |          0 |          2 |         13 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\ChestLootWindowScript.cs                 | C#        |         89 |          2 |         12 |        103 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\ItemDetailsWindow.cs                     | C#        |        172 |         10 |         34 |        216 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\MenuScript.cs                            | C#        |        136 |          4 |         30 |        170 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\NewBehaviourScript.cs                    | C#        |         12 |          2 |          5 |         19 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\NotificationManger.cs                    | C#        |        348 |         82 |         66 |        496 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\NotificationScript.cs                    | C#        |         88 |          1 |         18 |        107 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\OptionsWindowScript.cs                   | C#        |         20 |         15 |         18 |         53 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\ResourceBarScript.cs                     | C#        |         17 |          0 |          3 |         20 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\StageCompleteWindowScript.cs             | C#        |         21 |          0 |          5 |         26 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\TickScript.cs                            | C#        |         36 |          0 |          3 |         39 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader        | ShaderLab |        109 |          2 |         33 |        144 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader              | ShaderLab |        112 |          3 |         31 |        146 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader                     | ShaderLab |        109 |          2 |         33 |        144 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader                | ShaderLab |        243 |          4 |         71 |        318 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader                    | ShaderLab |        241 |          4 |         66 |        311 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader         | ShaderLab |        188 |         10 |         50 |        248 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader         | ShaderLab |        183 |          8 |         50 |        241 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader             | ShaderLab |         82 |          4 |         21 |        107 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader                 | ShaderLab |        183 |          8 |         50 |        241 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader         | ShaderLab |        103 |          8 |         28 |        139 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader                | ShaderLab |        122 |          4 |         33 |        159 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF.shader                        | ShaderLab |        243 |          4 |         71 |        318 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader                     | ShaderLab |         97 |          0 |         20 |        117 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMPro.cginc                           | HLSL      |         63 |          2 |         20 |         85 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc                    | HLSL      |        122 |          2 |         34 |        158 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc                | HLSL      |         62 |         10 |         14 |         86 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc                   | HLSL      |         76 |          7 |         19 |        102 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Sprites\EmojiOne.json                         | JSON      |        155 |          0 |          2 |        157 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\UIManager.cs                                               | C#        |         18 |          0 |          3 |         21 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\enums\ActionIcon.cs                                        | C#        |         12 |          0 |          1 |         13 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\enums\AlertCategory.cs                                     | C#        |         17 |          0 |          2 |         19 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\enums\ResourceType.cs                                      | C#        |          7 |          0 |          0 |          7 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\enums\TileTypes.cs                                         | C#        |         10 |          0 |          1 |         11 |
| d:\Programowanie\Unity\SimpleRougelike\Logs\AssetImportWorker0-prev.log                                  | Log       |      8,553 |          0 |        388 |      8,941 |
| d:\Programowanie\Unity\SimpleRougelike\Logs\AssetImportWorker0.log                                       | Log       |      2,773 |          0 |        124 |      2,897 |
| d:\Programowanie\Unity\SimpleRougelike\Logs\AssetImportWorker1-prev.log                                  | Log       |         66 |          0 |          2 |         68 |
| d:\Programowanie\Unity\SimpleRougelike\Logs\AssetImportWorker2-prev.log                                  | Log       |      8,627 |          0 |        393 |      9,020 |
| d:\Programowanie\Unity\SimpleRougelike\Logs\Packages-Update.log                                          | Log       |         48 |          0 |          4 |         52 |
| d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-AssetImportWorker0.log                        | Log       |          2 |          0 |          2 |          4 |
| d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-UnityShaderCompiler.exe0.log                  | Log       |          2 |          0 |          2 |          4 |
| d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-UnityShaderCompiler.exe1.log                  | Log       |          2 |          0 |          2 |          4 |
| d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-UnityShaderCompiler.exe2.log                  | Log       |          2 |          0 |          2 |          4 |
| d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-UnityShaderCompiler.exe3.log                  | Log       |          2 |          0 |          2 |          4 |
| d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-UnityShaderCompiler.exe4.log                  | Log       |          2 |          0 |          2 |          4 |
| d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-UnityShaderCompiler.exe5.log                  | Log       |          2 |          0 |          2 |          4 |
| d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-UnityShaderCompiler.exe6.log                  | Log       |          2 |          0 |          2 |          4 |
| d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-UnityShaderCompiler.exe7.log                  | Log       |          2 |          0 |          2 |          4 |
| d:\Programowanie\Unity\SimpleRougelike\Packages\manifest.json                                            | JSON      |         51 |          0 |          1 |         52 |
| d:\Programowanie\Unity\SimpleRougelike\Packages\packages-lock.json                                       | JSON      |        456 |          0 |          1 |        457 |
| Total                                                                                                    |           |     29,131 |        490 |      2,458 |     32,079 |
+----------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
