"filename", "language", "Log", "JSON", "C#", "ShaderLab", "HLSL", "XML", "comment", "blank", "total"
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Data_ScriptableObject\TreasureData.cs", "C#", 0, 0, 39, 0, 0, 0, 0, 10, 49
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Interfaces\IChest.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 2, 12
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Interfaces\ICreature.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 1, 14
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Interfaces\IFragile.cs", "C#", 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Interfaces\ILivingThing.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 4, 14
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Interfaces\ISelectable.cs", "C#", 0, 0, 7, 0, 0, 0, 1, 5, 13
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Interfaces\ISpecialTile.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 1, 13
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Interfaces\IUsable.cs", "C#", 0, 0, 9, 0, 0, 0, 1, 2, 12
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Interfaces\IValuable.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 2, 11
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Monster_Cell.cs", "C#", 0, 0, 194, 0, 0, 0, 10, 28, 232
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Obstacle_Cell.cs", "C#", 0, 0, 36, 0, 0, 0, 2, 12, 50
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Player_Cell.cs", "C#", 0, 0, 137, 0, 0, 0, 2, 21, 160
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Treasure_Cell.cs", "C#", 0, 0, 132, 0, 0, 0, 1, 21, 154
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Chest.cs", "C#", 0, 0, 58, 0, 0, 0, 8, 12, 78
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\EquipmentScript.cs", "C#", 0, 0, 278, 0, 0, 0, 7, 46, 331
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\GameManager.cs", "C#", 0, 0, 384, 0, 0, 0, 35, 63, 482
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\GridManager.cs", "C#", 0, 0, 195, 0, 0, 0, 14, 16, 225
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Item Scripts\DefaultItem.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 3, 14
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Item Scripts\EquipmentItem.cs", "C#", 0, 0, 46, 0, 0, 0, 0, 7, 53
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Item Scripts\GoldItem.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 2, 13
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Item Scripts\ItemData.cs", "C#", 0, 0, 77, 0, 0, 0, 0, 6, 83
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Item Scripts\PotionItem.cs", "C#", 0, 0, 35, 0, 0, 0, 0, 6, 41
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\ItemSlot.cs", "C#", 0, 0, 227, 0, 0, 0, 14, 38, 279
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\MoveValidatorScript.cs", "C#", 0, 0, 91, 0, 0, 0, 4, 19, 114
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\PlayerEquipmentVisualSwitchScript.cs", "C#", 0, 0, 64, 0, 0, 0, 0, 12, 76
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\PlayerManager.cs", "C#", 0, 0, 384, 0, 0, 0, 30, 66, 480
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\ActionButtonScript.cs", "C#", 0, 0, 126, 0, 0, 0, 15, 13, 154
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\ActionSwitchController.cs", "C#", 0, 0, 185, 0, 0, 0, 9, 22, 216
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\AlertScript.cs", "C#", 0, 0, 31, 0, 0, 0, 6, 7, 44
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\AnimateWindowScript.cs", "C#", 0, 0, 153, 0, 0, 0, 11, 26, 190
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\AutoDestroyScript.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 2, 13
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\ChestLootWindowScript.cs", "C#", 0, 0, 89, 0, 0, 0, 2, 12, 103
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\ItemDetailsWindow.cs", "C#", 0, 0, 172, 0, 0, 0, 10, 34, 216
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\MenuScript.cs", "C#", 0, 0, 136, 0, 0, 0, 4, 30, 170
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\NewBehaviourScript.cs", "C#", 0, 0, 12, 0, 0, 0, 2, 5, 19
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\NotificationManger.cs", "C#", 0, 0, 348, 0, 0, 0, 82, 66, 496
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\NotificationScript.cs", "C#", 0, 0, 88, 0, 0, 0, 1, 18, 107
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\OptionsWindowScript.cs", "C#", 0, 0, 20, 0, 0, 0, 15, 18, 53
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\ResourceBarScript.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 3, 20
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\StageCompleteWindowScript.cs", "C#", 0, 0, 21, 0, 0, 0, 0, 5, 26
"d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\TickScript.cs", "C#", 0, 0, 36, 0, 0, 0, 0, 3, 39
"d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader", "ShaderLab", 0, 0, 0, 109, 0, 0, 2, 33, 144
"d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader", "ShaderLab", 0, 0, 0, 112, 0, 0, 3, 31, 146
"d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader", "ShaderLab", 0, 0, 0, 109, 0, 0, 2, 33, 144
"d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader", "ShaderLab", 0, 0, 0, 243, 0, 0, 4, 71, 318
"d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader", "ShaderLab", 0, 0, 0, 241, 0, 0, 4, 66, 311
"d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader", "ShaderLab", 0, 0, 0, 188, 0, 0, 10, 50, 248
"d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader", "ShaderLab", 0, 0, 0, 183, 0, 0, 8, 50, 241
"d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader", "ShaderLab", 0, 0, 0, 82, 0, 0, 4, 21, 107
"d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader", "ShaderLab", 0, 0, 0, 183, 0, 0, 8, 50, 241
"d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader", "ShaderLab", 0, 0, 0, 103, 0, 0, 8, 28, 139
"d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader", "ShaderLab", 0, 0, 0, 122, 0, 0, 4, 33, 159
"d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF.shader", "ShaderLab", 0, 0, 0, 243, 0, 0, 4, 71, 318
"d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader", "ShaderLab", 0, 0, 0, 97, 0, 0, 0, 20, 117
"d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMPro.cginc", "HLSL", 0, 0, 0, 0, 63, 0, 2, 20, 85
"d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc", "HLSL", 0, 0, 0, 0, 122, 0, 2, 34, 158
"d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc", "HLSL", 0, 0, 0, 0, 62, 0, 10, 14, 86
"d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc", "HLSL", 0, 0, 0, 0, 76, 0, 7, 19, 102
"d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Sprites\EmojiOne.json", "JSON", 0, 155, 0, 0, 0, 0, 0, 2, 157
"d:\Programowanie\Unity\SimpleRougelike\Assets\UIManager.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 3, 21
"d:\Programowanie\Unity\SimpleRougelike\Assets\enums\ActionIcon.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 1, 13
"d:\Programowanie\Unity\SimpleRougelike\Assets\enums\AlertCategory.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 2, 19
"d:\Programowanie\Unity\SimpleRougelike\Assets\enums\ResourceType.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 7
"d:\Programowanie\Unity\SimpleRougelike\Assets\enums\TileTypes.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\Programowanie\Unity\SimpleRougelike\Logs\AssetImportWorker0-prev.log", "Log", 8553, 0, 0, 0, 0, 0, 0, 388, 8941
"d:\Programowanie\Unity\SimpleRougelike\Logs\AssetImportWorker0.log", "Log", 2773, 0, 0, 0, 0, 0, 0, 124, 2897
"d:\Programowanie\Unity\SimpleRougelike\Logs\AssetImportWorker1-prev.log", "Log", 66, 0, 0, 0, 0, 0, 0, 2, 68
"d:\Programowanie\Unity\SimpleRougelike\Logs\AssetImportWorker2-prev.log", "Log", 8627, 0, 0, 0, 0, 0, 0, 393, 9020
"d:\Programowanie\Unity\SimpleRougelike\Logs\Packages-Update.log", "Log", 48, 0, 0, 0, 0, 0, 0, 4, 52
"d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-AssetImportWorker0.log", "Log", 2, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-UnityShaderCompiler.exe0.log", "Log", 2, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-UnityShaderCompiler.exe1.log", "Log", 2, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-UnityShaderCompiler.exe2.log", "Log", 2, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-UnityShaderCompiler.exe3.log", "Log", 2, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-UnityShaderCompiler.exe4.log", "Log", 2, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-UnityShaderCompiler.exe5.log", "Log", 2, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-UnityShaderCompiler.exe6.log", "Log", 2, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-UnityShaderCompiler.exe7.log", "Log", 2, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Programowanie\Unity\SimpleRougelike\Packages\manifest.json", "JSON", 0, 51, 0, 0, 0, 0, 0, 1, 52
"d:\Programowanie\Unity\SimpleRougelike\Packages\packages-lock.json", "JSON", 0, 456, 0, 0, 0, 0, 0, 1, 457
"Total", "-", 20085, 662, 5191, 2015, 323, 855, 490, 2458, 32079
