Date : 2021-10-02 18:00:44
Directory : d:\Programowanie\Unity\SimpleRougelike
Total : 107 files,  22695 codes, 733 comments, 2487 blanks, all 25915 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\CellsVariant\Treasure_Cell.cs                      | C#        |        134 |         16 |         25 |        175 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Chest.cs                                           | C#        |         58 |          8 |         12 |         78 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\EquipmentScript.cs                                 | C#        |        306 |         24 |         52 |        382 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\GameManager.cs                                     | C#        |        421 |         19 |         58 |        498 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\GridManager.cs                                     | C#        |        263 |          3 |         24 |        290 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Item Scripts\DefaultItem.cs                        | C#        |         11 |          0 |          3 |         14 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Item Scripts\EquipmentItem.cs                      | C#        |         55 |          0 |          7 |         62 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Item Scripts\GoldItem.cs                           | C#        |         11 |          0 |          2 |         13 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Item Scripts\ItemData.cs                           | C#        |         77 |          0 |          6 |         83 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Item Scripts\PotionItem.cs                         | C#        |         30 |          0 |          7 |         37 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\ItemSlot.cs                                        | C#        |        226 |         20 |         40 |        286 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\MoveValidatorScript.cs                             | C#        |        133 |          2 |         17 |        152 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\PlayerEquipmentVisualSwitchScript.cs               | C#        |         26 |         46 |         13 |         85 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\PlayerManager.cs                                   | C#        |        316 |         42 |         75 |        433 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Skills\SkillScripts\ISkill.cs                      | C#        |          6 |          0 |          1 |          7 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Skills\SkillScripts\SkillBase.cs                   | C#        |         28 |          0 |          4 |         32 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Skills\SkillScripts\SkillData.cs                   | C#        |         16 |          0 |          3 |         19 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Skills\SkillScripts\Skill_Punch.cs                 | C#        |         20 |          0 |          6 |         26 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Skills\SkillSelection\SelectionPopupController.cs  | C#        |        156 |         16 |         31 |        203 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Skills\SkillSelection\SelectionPopupNodeScript.cs  | C#        |         95 |          3 |         18 |        116 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Skills\SkillSelection\SkillNode.cs                 | C#        |         37 |          0 |          5 |         42 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Skills\SkillsManager.cs                            | C#        |         50 |         53 |         18 |        121 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\Statistics.cs                                      | C#        |        464 |         29 |         50 |        543 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\ActionButtonScript.cs                    | C#        |        128 |         17 |         13 |        158 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\ActionSwitchController.cs                | C#        |        184 |         13 |         22 |        219 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\AlertScript.cs                           | C#        |         31 |          6 |          7 |         44 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\AnimateWindowScript.cs                   | C#        |        152 |         12 |         26 |        190 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\AutoDestroyScript.cs                     | C#        |         11 |          0 |          2 |         13 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\ChestLootWindowScript.cs                 | C#        |         89 |          2 |         12 |        103 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\ItemDetailsWindow.cs                     | C#        |        171 |         11 |         34 |        216 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\MenuScript.cs                            | C#        |        136 |          4 |         30 |        170 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\NewBehaviourScript.cs                    | C#        |         12 |          2 |          5 |         19 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\NotificationManger.cs                    | C#        |        378 |        100 |         74 |        552 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\NotificationScript.cs                    | C#        |         88 |          1 |         18 |        107 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\OptionsWindowScript.cs                   | C#        |         20 |         15 |         18 |         53 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\ResourceBarScript.cs                     | C#        |         17 |          0 |          3 |         20 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\StageCompleteWindowScript.cs             | C#        |         20 |          1 |          5 |         26 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\Scripts\UiScripts\TickScript.cs                            | C#        |         36 |          0 |          3 |         39 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TabsSectionScript.cs                                       | C#        |         45 |          0 |         11 |         56 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader        | ShaderLab |        109 |          2 |         33 |        144 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader              | ShaderLab |        112 |          3 |         31 |        146 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader                     | ShaderLab |        109 |          2 |         33 |        144 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader                | ShaderLab |        243 |          4 |         71 |        318 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader                    | ShaderLab |        241 |          4 |         66 |        311 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader         | ShaderLab |        188 |         10 |         50 |        248 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader         | ShaderLab |        183 |          8 |         50 |        241 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader             | ShaderLab |         82 |          4 |         21 |        107 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader                 | ShaderLab |        183 |          8 |         50 |        241 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader         | ShaderLab |        103 |          8 |         28 |        139 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader                | ShaderLab |        122 |          4 |         33 |        159 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_SDF.shader                        | ShaderLab |        243 |          4 |         71 |        318 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader                     | ShaderLab |         97 |          0 |         20 |        117 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMPro.cginc                           | HLSL      |         63 |          2 |         20 |         85 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc                    | HLSL      |        122 |          2 |         34 |        158 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc                | HLSL      |         62 |         10 |         14 |         86 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc                   | HLSL      |         76 |          7 |         19 |        102 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\TextMesh Pro\Sprites\EmojiOne.json                         | JSON      |        155 |          0 |          2 |        157 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\UIManager.cs                                               | C#        |         18 |          0 |          3 |         21 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\enums\ActionIcon.cs                                        | C#        |         12 |          0 |          1 |         13 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\enums\AlertCategory.cs                                     | C#        |         17 |          0 |          2 |         19 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\enums\ResourceType.cs                                      | C#        |          7 |          0 |          0 |          7 |
| d:\Programowanie\Unity\SimpleRougelike\Assets\enums\TileTypes.cs                                         | C#        |         10 |          0 |          1 |         11 |
| d:\Programowanie\Unity\SimpleRougelike\Logs\AssetImportWorker0-prev.log                                  | Log       |      8,672 |          0 |        388 |      9,060 |
| d:\Programowanie\Unity\SimpleRougelike\Logs\AssetImportWorker0.log                                       | Log       |      2,937 |          0 |        144 |      3,081 |
| d:\Programowanie\Unity\SimpleRougelike\Logs\Packages-Update.log                                          | Log       |         48 |          0 |          4 |         52 |
| d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-AssetImportWorker0.log                        | Log       |          2 |          0 |          2 |          4 |
| d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-UnityShaderCompiler.exe0.log                  | Log       |          2 |          0 |          2 |          4 |
| d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-UnityShaderCompiler.exe1.log                  | Log       |          2 |          0 |          2 |          4 |
| d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-UnityShaderCompiler.exe2.log                  | Log       |          2 |          0 |          2 |          4 |
| d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-UnityShaderCompiler.exe3.log                  | Log       |          2 |          0 |          2 |          4 |
| d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-UnityShaderCompiler.exe4.log                  | Log       |          2 |          0 |          2 |          4 |
| d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-UnityShaderCompiler.exe5.log                  | Log       |          2 |          0 |          2 |          4 |
| d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-UnityShaderCompiler.exe6.log                  | Log       |          2 |          0 |          2 |          4 |
| d:\Programowanie\Unity\SimpleRougelike\Logs\shadercompiler-UnityShaderCompiler.exe7.log                  | Log       |          2 |          0 |          2 |          4 |
| d:\Programowanie\Unity\SimpleRougelike\Packages\manifest.json                                            | JSON      |         51 |          0 |          1 |         52 |
| d:\Programowanie\Unity\SimpleRougelike\Packages\packages-lock.json                                       | JSON      |        456 |          0 |          1 |        457 |
| Total                                                                                                    |           |     22,695 |        733 |      2,487 |     25,915 |
+----------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
